comment, label
Tổ cha,
Nhìn mặt khóc như con. Khỉ xuất tinh,
Thấy ghê vl Kinh,
Nghe chú rặn khóc mà con mắc cười quá, chú lên show nào là show ấy ngập lụt,
Đẹp vãi luôn,
T nổi da gà cục cục,
Chị Hằng quá tuyệt vời xinh đẹp quá đi,
Thế thì nghỉ đi ai ép làm đâu,
Như vậy thì thầy cũng có biết gì đâu ? Liên quan gì đến thầy mà đòi quất thầy? Đánh tráo khái niệm gì ở đây? Mất dậy con ngu nguyên phương hề,
Xàm lol,
ngta rủ đi ăn kem nè ăn hk,
Bữa giờ toàn đọc tin chứ ko có xem clip, bữa nay mới xem, má nhìn ung thư thật sự,
Tổng vệ sinh nha,
tổng bình phương 2 cạnh góc vuông,
Đụng đến thầy Tuệ thì tương lai ko tốt đâu,hãy quay đầu là bờ.tâm linh ko đùa đc đâu,
Nếu cảm thấy khó nuốt quá thì đổi nghề cho mâý anh võ sĩHay máy anh MMA gì đó cho dễ nuốtCũng dễ khóc hơn,
Nhìn cái mặt TT nhăn như khỉ ăn ớt. Càng nhìn càng bực,
Mấy anh áo xanh đang đánh dấu hỏi , và khi có câu trả lời thì có đứa  đi tù,
lúc đó ốm hơn giờ nha bây ,là ăn kêto dữ chưa,
Diễn thôi mà cũng không thành,
Bạn nào bị lừa tiền qua mạng đầu tư sàn điện tử làm nhiệm vụ chốt đơn nhận hoa hồng với nhiều hình thức khác nhau Thiệt hại số tiền lớn mà không rút ra được nhắn tin mình cho cách lấy lại .Mình từng bị và đã lấy lại được rồi,
rủ cô Hai sửa méo miệng chung,
Đúng là con cà cuống chết đến đít mà vẫn cay,
Kkk chắc anh ấy đã phải rát đít lắm mới khóc tức tuởi thế. Chứ nếu cố gắng bằng nhiệt huyết với nghề để có thành quả hôm nay thì đâu phải tỏ ra oan ức thế,
Điệu quá,
Điên,
Nó như con chó,
tổng hợp nhà vệ sinh hả,
Hoang     Kim    Dung   .   Đinh   Lan   .   7  gà   .  Lê  Minh   .   Chuẩn    Bị   Qua   Tết      Nè    Các    Con,
Bố cái thằng chó nhìn thấy cái mặt nó diễn mà ghét,
đẹp quá ha con người ko có lương tâm,
Cố rặn,
Loại đàn ông nước mắt đàn bà như này vứt tôi Chag bh xem hai của thằng này ca nhìn da ghét rồi,
Tổng đàiiii,
Xàm z,
Vậy là mày cũng thích tiền, thích hào quang và câu nói ấy đụng chạm k ít anh em nghệ sĩ,
Ai cũng như t thì tụi này khỏi hqrr j hết,
Xinh cái gì con ngộ điên cuồng,
tổng đài:v,
tổng vệ sinh,
Kg anti hay gì nhưng mà thấy ông Trấn thành diễn kg hợp với gu ta ,cái hài diễn tính chất giải trí cao cười trên cái cảm lố ,nhiều cái 0 ý nghĩa. Khóc vô tội dạ. Tui nghe 1 nghệ sĩ gạo cội phát biểu ,ngắn nhưng rất hay. Còn ổng dài khóc cũng kg biết ý ổng nói gì cái gì,
Bấm nút biến mẹ mày,
Nó là bãi shit ak mày nếm nó đi,
Nge nó khắm,
Tự mình khen mình luôn,
Mãi mãi ủng hộ NPH một người phụ nữ dám nói dám làm,
Ôi ôi VT ghê gớm quá,
Đep cc,
hừ.....hừ....cái đ m mày.diễn cl,
Giờ mà bả đc thêm lượng Fan như Fan thầy MT nữa và cững quỳ lạy bả chắc lúc đó bả mới thỏa cơn thèm khát cái gì cũng số 1. Khiếp giờ nghe bả nói mn thấy ko? Cái giọng hậm hực ko nuốt nổi cục ghen tị giờ gọi ông MT rồi chứ ko trả vờ gọi thầy nữa rồi, lòi luôn ra sự đố kỵ,
Đưa thằng l này vào trại cai nghiện hách dịch,
Nhìn thấy cưng - cưng vô lây,
dien.qua.ca.nha.oi,
Đúng rồi,ai thích thì moi lên sân khấu,có lý lẻ đúng.cũng bị chửi,
Ngáo trâu,
Má mắc ói em đẹp không quý dị,
Yêu chị Phương Hằng giúp dân nghèo,
Mít ướt, là đàn ông không ai hở xíu là khóc nhè,
Nghe thấy sang ghê- sang chấn tâm lý,
Nhìn muốn xĩu,
Thời khung kiện bà,
Nhiều chuyện kinh hồn,
Con này quá điêu thuyền bịa chuyện đẹp hơn con điên tý,
Ra rả như cái loa phường,
Mô phật để người ta sống,
Nam Sao no se ra Bo phim moi hao quan  ruc ro,
Dep nhung bi khung,
Bác trọng bải dồi cứ nghỉ đi a tưởng o có ai thay a đầy người thay vn còn nhiều nhân tài nắm động cái là khóc mình đừng làm điều o đúng đi xem có ai nói mình o,
tổng vệ sinh chứ tổng tài gì,
tỏng bình phương 2 cạnh góc vuông,
Khi mua vé làm căng đến giờ thang van khóc lóc,
Gớm,
Cười iatumlum luôn,
Con khùng,
Quả này điều tra bà kia ko phải Vịt xiêm thì khả năng quay lại t30 rất cao vẫn tội 331, vu khống,
Chó chét me mi,
Nam mô a di phật để người ta sống,
Điên,
công an ngầm like cả interpool thế này,
Chị đẹp đã nói cứ từ từ thì khoai sẽ nhừ,
Ôi đoi là vô thường lắm đẹp khỏi chết không quá ngã mạng rồi,
Tổng cái lồn nhé,
Mong cqcn vao cuoc đê cho nd biet ro trăng đen chu đê ba nay len mang xuyen tac lam cho nd hoang mang ko biet ai đung ai sai mong ca vao cuoc lam ro,
Tổng vệ sinh,
Có. Thật. Hay. Là. Mạng. Ghép hình. Bà.  Hàng,
O con cac,
nín dùm e cái,
Khi thằng hề khóc.. thì vẫn thấy mắc cười,
Không biết thằng thành xem được xong có thấy xấu hổ không,
Con điên,
Bôi bác thật,
Sàm xí đú,
Tổng thống trung quốc,
Cô hai báo nhìn sang quá Sang chấn tâm lí,
tổng đài dự báo thời tiết,
Nim hao quang thi cung như nim cưc thoi,
Ai ép mà khóc tức tưởi vậy má,
Tổng duyệt cuối năm á má,
Khung hạ ba,
Tào lao quá trời,
Đúng là nghiệp súc,
Chuyện đó liên quan gì tới thầy minh tuệ nó có tổ chức gì thì là chuyên của nó bà là cái gì mà réo tên thầy minh tuệ ai sai thì bà báo công an bắt tụi nó  bà  bao nhiêu tuổi rồi mà ai nói bà cung tin vậy,
Khùng lâu,
Khó ông noi mày. Vậy đừng làm,
mẹ mới ngủ dậy thấy video này cộc thiệt chứ,
Mợ hai béo,
Mắc ẻ quá Đã xấu còn hay ảo tưởng,
tồng tài của m nè,
Má, quang linh bên cạnh k nhịn nổi cười,
Vẫn đứng trên sân khấu là vẫn diễn quá nhập tâm,
Anh Quang Linh muốn cười lắm nhưng ngại hahaa,
ăn cem hum boé,
DVH thoi nhe vao tai... xuong di e,
Bịa chuyện hay quá,
may tào lao hoài,
8/3 này e chở chị đi ăn kem nà,
á đù sư mt có gì đâu mà giải cứu,
Dell đâu cũng khóc được =)) thật là hào quang,
Mắc ỉa quá,
Hàng nói việc gì để ý sau cũng có nên công tâm đúng hì bán phương hàng người tốt tánh ngay.thằng c a umongtat,
Đang mệt nghe cái xỉu đùng đùng lun cô 2 ơi,
Mày nuốt luôn cũng được chứ nếm cho cho cực vậy,
Đây là 1 tổ chức  rất nguy hiểm làm cho dân mê muội   cúng dg ng đg  chỉ vì phật sống thật ảo tưởng,
Nghĩ sao đưa con báo này lên đây nhảm hoài vậy trời,
VẬY ĐẶT CHỨ HÀO QUANG RỰC RỠ LẮM GÌ A ĐỪ,
Chó con báo,
coi full đi em bổ mắt lắm,
tổng vệ sinh,
Tổng chà chùi,
Con khùng,
Tổng tài  tổng đài,
ăn kem hong,
Dẹp cái trò thút thít kể lễ nhạt thấch đi,
Loz hay khóc gặp loz hay hun,
phải t t cx lên nếm thử mùi tiền vs hào quang thử,
Ào jao,
em cũng nhớ chị,
t hỏi lần cuối thành phố nào vừa đi đã mỏi,
Như Qq,
Tổng vệ sinh,
coi bả xong hết hứng luôn,
Con mất dạy bất trị,
ăn xà beng nà ăn xà beng nà,
má muốn nóng lạnh thiệt chứ,
Sau bao đắng cay thì cô hằng càng ngày càng quất k trượt  đâu,
Chúc chị đi luôn nhé thấy chị em ngứa mắt,
Vkl hẳn là giải cứu khỏi đàm daddy,
Nhìn cái thấy cưng liền, cưng vô lây,
Ph tuyệt vời,
Sửa nhiêu điếc tai,
Tổng bình phương hai cạnh góc vuông,
Sao bạn khóc mà t lại buồn cười ẻ,
Trấn thành giờ đái bằng mắt hay sao ấy nhỉ...rõ chán,
Cà muốn banh cái app mới dc vậy để mặt mộc coi ,hk y chan như lúc ở tù , rán đi thời  jan hk bao lâu nửa đâu, có người tặng lắc bạc cho bà nè,
đưa nó ra biên giới làm bia đỡ đạn đi,
Sinh 1987 chưa biết khổ là gì lại nổi tiếng sớm  quá nên phát ngôn thiếu suy nghĩ. Tẩy chay mấy thằng này là đúng nghĩa,
Làm trò,
Tổng tài bá dơ,
Lại nữa,
thầy minh tuệ là bậc thánh là phật sông trong lòng tôi ! nam mô a di đà phật,
Nó khổ lắm. Vợ nó bảo mỗi sáng chỉ cho có 5 triệu vào ví nó để nó đi ăn sáng thôi,
rặn chác ra quần mợ rồi,
Sao cứ đưa  tin mấy thằng này lên hoài . Thấy mà chán,
Một con điên,
nhìn ngứa mắt thật,
Haizz riết trông chán thật,
Trấn thành cố thủ,
khung,
Giở rồi,
nó đã lắm à nha,
Một thằng điên nổi tiếng,
cần điều tra vụ việc,
Khổ thân chưa,
Minh ăn kemm nà:33,
Nhìn ghê,
cục cưng ơi,
Nhìn A Quang Linh nháy mắt,
Có p h đồng bóng đẹp lắm,
điên rồi bà hăng ơi,
Thật vọng qua,
that’s this? “HÀO QUANG ZỰC ZỞ,
Văn hoá nghệ thuật vn nghe nói tài ba lổi lạc mà được nhiều ng gọi thần tượng là đây đây .rồi ngày mai sẻ ra sao nữa ko chừng,
Ai mượn bả zị,
Người đàn ông ít đái nhất thế giới, vì nước thải đã được đưa ra từ mắt,
Từ đó toy không bao giờ ăn kem nữa,
Con nay sam qua,
Chú Quang Linh kiểu  Thằng này phát ngôn cái quái gì thế  kiểu lên đồng hả,
Kao tưởng mẻ hết báo dt kao ùi...rớt mạng có 1 đêm. Mà sáng giờ mở dt ra..Facebook của tui toàn con Báo đen này ko zay trời...bớt báo trang của kao dc ko za.cô 2..Báoooooooo u là trời,
Kiếm tiền khổ lắm chứ đùa,
Mấy thằng đàn bà,
ăn kem kh bíe,
Đep ạ,
Nghe mắc ói quá bây oi,
Hơi tí thì khóc nhè,
Diễn viên nhưng lại diễn điên,
đó là ăn xung mặc sướng.hơn hàng triệu người dân ngèo tại viêt nam,
xàm nhồn là giỏi,
Mệt mỏi thiệt chứ,
Thấy chặn cái trang Yan này cũng hợp lý,
Má nhìn không ưa,
sao cứ lướt qua gặp mấy cái clip nhơ nhuốt nầy vậy ta,
thôi nhường kem cho bà á,
khoc lun,
Thang than kinh,
Đang  nói  bình thường  ..chắc dinh đồ  ...khóc  thấy  lạ lắm ak  nghen,
Khùng,
Người của công chúng mà nói một câu rất ngu,
Quang Linh cố lắm mới nhịn được cười trước trò lỗ của TTNghề cc nào trả có cái khổMà khổ quá nghỉ mẹ đi,
Thiện tai,
Tuyền ơi em có dát vàng em đẹp như phù thủy,
ninh nà nái này,
Chị Hằng nói thật là chính xác luôn chúc mừng cho những người nào mà biết niệm nam mô a Di Đà Phật nam mô a Di Đà Phật nam mô a Di Đà Phật nam mô a Di Đà Phật nam mô a Di Đà Phật nam mô a Di Đà Phật nam mô a Di Đà Phật,
Dĩ ứng vậy troi,
Hoàng Vũ lên nếm 4 chữ hào quang gực gỡ,
oh shjt here we go again,
bik con căk ák tkành,
Harrylu - cái lu,
khóc mà củng rặng giữ,
Cục kưng ơi cô 2 báo chở m đi ăn kem nàaa,
MC kiểu: xạo lz dừa thôi con,
Am binh - chuong khí,
Khi mở mạng xem lại cảnh này chắc ông độn thổ luôn á,
Lại con điên lên mạng,
Nào Harry Lu chở thì đi,
Đcm thằng ml,
dm thang Dien   nhin  ngua mat,
sợ ngang,
ko làm đc thì cút đầy ns chân chính,
tổng l,
Tổng vệ sinh,
Nhìn ngứa mắt vl,
Thằng hề,
Con nay nhiêu thăng qua nên bi điên,
tổng phép tính toán này,
ăn kem nè zợ eo,
bé ơi bé à ah yêu e,
má:)) t mắc ói quá bây ơi,
thix tổng tài này không chị,
này là tổng đài chứ tài j,
Nhìn gớm,
Nguyễn Phương Hằng mãi mãi Tuyệt Vời,
Chở cái cc,
Bớt DIỄN lại đi k ai nghe lọt tai đâu nhóc,
Diễn viên chuyên nghiệp có khác :)) nói đc xíu đã khóc rồi, toàn diễn kh,
con tam than benh hoan . benh my to chuc la binh thuong vn co cai mieng may dam noi loi phan dong moi la,
kìa đi ăn kem đi,
Con tù t3o ghen với thầy mình tuệ thầy đã tu rồi mà cứ nhắc đến tên nó còn nói không tôn ttrọng thầy ai cần nó tôn trọng với một con tù con này dã tâm ác lắm nhưng mà đụng tới thầy thì cũng tàn gia bại sản,
đi ăn kem kìa ăn kem kìa,
Khùng quá,
Đúng là thằng vô duyên đạo giả nước mắt,
Cũng thì con người đấy và cũng là những giọt nước mắt của con người đấy nhưng nước mắt nó rơi ở chương trình (HÁT MÃI ƯỚC MƠ) sao mình thấy cao thượng và nhân văn bao nhiêu thì ở cái chương trình này mình lại thấy những giọt nước mắt đó của hắn nó lại rẻ mạc đến lạ thường,
Tổng vệ sinh,
Toi tin có Phương Hằng noi,
Thấy ghê quá dơ dơ,
rặn mãi mới ra,
Cụt đi còn kịp,
Cái thằng dien nó diễn hài quá,
Đểu giả vừa thôi,
Đúng là thằng này sinh ra là để làm trò cười cho thiên hạ,
nhìn khóc dả tạo vải,
Cùng cùng điên điên,
em thấy thì chị cũng phải thấy,
Cứ Đăng thằng nay lên nhiu nhìn ngứa cả cái đầu buồi tao,
Hen siểu ak,
Đep mà bị bệnh nặng mà k biết,
ddmaaaa tổng đàiii,
Khổn như may ai cũng thèm khổ,
rất là lì nha,
Cô hằng ơi nói cái gì phải cho chính sát phải có chứng cớ đâu đó hẳn hoi rồi mới lên tiên bố nhé chứ đừng một chút đố kị ganh tị mà lên phát biểu như đúng rồi coi chừng cái quả báo nó đến lúc nào không hay thật đáng sợ chỉ nghe phong long những kẻ chốn,
Làm gì nhìn khó coi dử chời,
Thích quá Thảo Tiên ơi,
đm lau nước mắt mà cũng ra dáng vô sinh rồi,
Còn dòi của xh,
Cho con này vào T30 tiếp cho xh bình yên, chính nó làm cho đất nước chia rẽ mất đoàn kết gây rối xh,
máaaaa sao buồn cười vậy,
Phương hề nuôi vịt tân rồi lên bô bô mõm, lấy khăn lau nước mắt rồi ôm ấp lật lọng,
Lê Công Vinh đi ăn kem nà, ăn kem nà,
Còn thiếu thằng Hoài Linh nữa bo ba pha nat nền văn hóa của phía nam hay tay chay ngay và luôn dừng de chúng long hành nữa hồi nay no lai bat dầu,
nổi da gà thật,
Một ê kíp thôi nát,
lạnh sóng lưng quá ta,
Rực rỡ quá,
Phát mệt,
Nói chi lắm cho nhọc cả dài cả đẹp nên hưởng thụ,
Bà nào nói.ong tô lâm nghe mầy nói cả người dân.chỉ biết mầy nói chứ ai nói,
Chị đẹp quá chị ơi  kkkk,
sợ quá anh ơi,
Đang bực mà gặp m,
Cái mẹ gì vậy,
Tui nam nay 42tuổi chưa từng thấy thần nào khóc mà vẽ măt đáng gét đến vây,
di an kem cung tongtai khong e,
nghe nói hồi chiều 2 bé thèm kem hả,
Co thật hay không chính q  hay  vao cuộc làm ro vụ việc này  hay dieu tra cho ra  ..ở Việt Nam mà biết được bên Mỹ Tối ngay nhac den Viet tan,
tổng vệ sinh,
Con điên,
2 thằng rẻ rách,
tuyệt vời,
Trấn Thành đang diễn hài,
Hãi,
11111111,
ý là mình cũng lớn rồi á ấy ơi,
Bonj no LoI dụng hình ảnh của thầy thôi chứ thầy k có liên quan đến,
Mở miệng Nói ra mà ko bt xấu hổ,
Cứ phải xem xiếc,
Con điên đi vào bóc lichi,
Nhục nhã lắm thôi đi tù về mà tinh tướng,
T đi kiếm cái thùng xốp,
Sao lúc nầy em khóc hoài dậy tt,
2 đứa thay đồ đẹp chuẩn bị Đỉnh Ngọc Li qua chở đi ăn kem kìa,
hề vl,
Nghỉ ăn,
Nhìn mặt thôi ghét vkl,
Cái đị t mẹ mày bme mày chết m đã khóc đc nt chưa,
Giong con khung,
Hào quang CC,
Khong ho  danh  m.c vadien vien hai that hai,
Bên đó họp giải cướu cô cái cô thành vt.  Cô lớn rồi mà sao nói j,
Giờ nhìn mặt là thấy chán rồi coi cái gì nữa,
Thoi cj im mẹ mồm đi,
Tội nghiệp”  khi đã diễn thì diễn luôn cho tới, hát thêm câu“…đời em mang kiếp cầm ca…” SẾN, ZỊ, NỔI DA GÀ quá TT ơi,
thích hào quang ko em,
Mặt cứ câng câng, cổ lúc nào cũng gân gân. Nhìn muốn đấm cho 1 phát. Bố láo bố toét,
Toàn đưa những thứ tào lao,
Nhìn con điêu thuyền thấy vãi,
5k theo dõi FB = 30 nghìn10k theo dõi  = 50 nghìnZalo : 033 243 7783,
xam thiệt chứ vậy mà người nôi tiếng,
Tuyệt vời quá Hằng ơi  đúng 100%100 nhé,
Diễn xuất như củ hạch vậy em,
Con khùng điên cuồng gi tình,
Bệnh quá,
Tổng tài - Tổng vệ sinh,
Nói như con khùng!!! Đứa lên 3 nó nghe bà nói cũng thấy đéo có lí nữa kìa! Dm việt tân nó tổ chức cuộc họp đòi lật đổ chính quyền thì ai cũng tin ah??? Vt nó có uy tín từ lúc nào vậy trời,
Tổng vệ sinh,
Họ khóc ra tiền mình khóc ra nước mắt,
ngta tổng tài mình tổng cục vệ sinh,
Mắc ẻ,
Đám hiếu gọi nó.nó làm tốt việc ấy,
Ngu còn tỏ ra nguy hiểm,
đỉnh ngọc ly,
Xàm L,
Mọe mới sáng ra đã phải tìm thùng xốp,
Chun có thíc kem không,
Lai tý tàu khựa hay ăn vạ khóc nhè,
Chúc PH bình yên và HP,
Xàm lol,
Nem con me may,
Minh nói thật là minh bị ám ảnh bởi con bếu này sợ nó thật sự,
Giả tạo quá a ơi,
Lổ mũi bự vầy a thành,
Chúc ch luôn2 VV trẻ đẹp Bình An HP,
cô 2 báo dẫn e đi ăn kem kìa,
Ko có màt ko có gì mày xinh qúa ts con lật mặt,
Ngta tổng tài còn này là tổng quản thái giám  mà nhìn bã thấy cưng hé ( cưng dô lây,
,
thằng  dở hơi,
Nước mắt cá sấu.tẩy chay là vừa,
Cái thằng mình tuệ nó có phải là sư đâu mà nhiều người u mê mê muội,
Tổng hợp chất vô cơ á,
Người nghèo tới xin tiền .vô tình biến thành việt tân .ka ka nghe bà ấy fan của bà ta .mà giờ ra nông nổi,
Thầy không có gì để phải giải cứu thầy đang tu tập được chính quyền hổ trợ cho thầy rất tốt,
Dm thằng điên,
Nặng lắm luôn,
khóc lòi sụn,
Chúc  cô  khỏe  mạnh,
thấy cưng khoái đc tổng tài rủ đi ăn kem lắm phải hỏng,
Cái dit cụ nhà mày,
Cút đi đừng có hài lộ liểu quá rẻ tiền o đáng 1 xu,
Con nay nó phát ngôn quá ngụy hiểm cho chính trị vn rồi mong cơ quan chính quyền vào cuộc dẹp ngay đi đừng để nó đi xa quá rồi mất uy tin đảng csvn còn nó vi phạm sẽ vào tù k sướng thị muộn nhà nước tốn tiền nuôn nó ăn theo tôi là dẹp nó sớm đi,
Thằng mõm thành,
Tổng đài nha ah,
Đéo hiểu nó khóc cl gì,
Bà m đang ko dc quà 8-3Xem cái này xong, t cọc ngang,
Ăn kem nàk ăn kem nàh,
Cô hai hòn dái,
Nhìn thấy sao sao nhỉ,
m mún làm cục ngoan xinh iu của 2 hông,
Ăn sò mệt nghỉ,
Ngứa mắt,
C đ n s nó ...nó... nó  đi bốc vác đỡ cực,
dẫn bé đi ăn kem nàa,
Tổng này là tổng vệ sinh ha gì cđ,
Ga dang sang thoi may oi,
Xàm xí,
Em càng lúc càng lộ quá thành ơi,
chị này chanh chua hơn thua với người khác quá, cho nên  bị bệnh nặng lắm rồi,
Tổng dánh ngục,
2 vợ chồng mày nói ra chúng chửi ko mà ko thấy nhục sao,
Z thử nêm 4 chữ đời cong nhan coi,
ăn kem nàk ăn kem nàk,
Nuốt nhiều mà to nữa nên khó nuốt là phải rồi...nhai chậm chậm tí...kkkk,
ChÓ,
ê nghe nói mi thích nè,
ba mẹ con khùng,
adu cưng ơi anh chở em đi ăn kem nè ăn kem nè,
Nghe xong tê liệt thần kinh,
muốn hạnh phúc ko zề bên cô hai báo nè,
Dm, lại gặp nó nữa. Đập đt luôn,
Thằng bợm,
chắc là quang linh thoạt nghĩ , tưởng đâu nó nịnh sương sương để chừa cho mình ké chút đỉnh ai dè nó làm nốt hết trơn . ql nín cười cũng như nín .... vậy , chắc xong đêm ấy thì về khách sạn đóng cửa mà cười đến nội thương luôn á,
chịu hôn kìa,
Cuốn quá cuốn chiếu đem chôn,
Nó diễn quá sâu và xuất sắc đúng chuẩn,
Yêu cầu công an vô cuộc .ca VN sao vậy ta để  nó khùng hoài vậy sao .cho vô T31 không thì nhà thương điên cho nó ở chứ . xã hội VN bây giờ để nó muốn nói gì cũng được sao . mầy ông  CA yên lặng là sao,
sao mệt cl ghê ta ơi,
Em đẹp lắm chúc em sức khỏe,
tổng vệ sinh,
Toan lu khung voi nhau hao quang gi cai lu ban thiu,
Chắc chắn hằng ngồi họp chung với việt Tân rồi mới biết chính xác, chứ chính quyền Việt Nam có ai làm gì thầy MT đâu,
Nhìn thấy thương- Thương Tâm,
May dien ha phuong hang,
đứa nào bt oder thùng xốp chỗ nào k,
Tưởng đang nói đột quỵ trút hơi thở cuối cùng,
K muốn khâu nghiệp nữa,
Lúc cẹc nào cũng khóc,
Vì ai ra Nông nổi này dzậy Tời,
Tổng tàiTổng đài,
Nghĩ Cho khỏe đi chị ơi đừng lo chuyện chung này nữa, mong chị bình an để giúp đỡ những người khó khăn,
Nó làm cái gì dậy trời đến  nó cũng tởm,
Rác rưởi,
Thành thần thiên địa ơi yêu ma hiện hồn,
Hay qua c dep,
Kkk cừ chớt,
T nhìn mà t mắc cỡ dùm á bây,
nhìn thấy yêu-yêu ma quỷ quái hà bá phơi thây,
Thu,
Má thấy sao mà ứa gan qá chờiiii,
a chở e đi ăn kem,
Bi chui nhieu qua.mat chay het roi,
Tổng vệ sinh,
về lấy chồng cho t,
Con điên,
thế thì chịu rồi,
Tổng dọn vệ sinh, tổng đài, tổng hợp,
Ngt tổng tài mình tổng đài,
khổ quá thì thôi đừng có làm,
Đẹp kinh khủng,
nhìn mệt v,
Nhìn thấy anh quan linh đứng kế bên mà thấy anh ngượng giùm đúng là nhục thật,
Giải nghệ. Mẹ did,
Mớ  hỗn độn,
Con điên,nhìn muốn ói xanh mật chứ đẹp gì,
T đang cầm cái nồi inox nek, ngon nói tiếng nữa đi,
Mọi người nếu có yêu mến trấn thành muốn trấn được sung sướng không phải cực khổ hy sinh nữa thì trong các chương trình hay phim ảnh gì mà có trấn thành thì đừng ai đi xem nữa để anh ấy không nhé phải khóc nữa,
Ếch chết tại miệng 1 lần đi tù chưa chừa à,
Yên phận làm ăn còn người thời giờ ai làm gì người ta biết hết tâm Thiên cứ làm lên đây mà réo về thầy mình tuệ thì hết nghiệp lúc nào không hay,
Đkm con lợn giống người là thằng trấn thành,
Tội quá, khán giả ép trấn thành làm, vậy là lũ khán giả làm khổ a ơi là khổ,
Nghệ sĩ chúng mày diễn sâu quá sao quá thành sao,
Ai nhốt bả lại đi sợ bả cắn,
chó má thật đáng ghét,
cho tôi lênnnnn,
Mình vẫn quý thầymtCũng quý nphChúc mọi người nhiều sk,
mắc ói quá,
Cứ xem mặt thằng này là thấy ghét r,
khóc đcm mày ? ngứa dái bố,
Hằng ơi đừng nói nữa cưng càng nói thì nghiệp lại đến với cưng,
Con điên điếc tai,
tụi bây đâu sắm cho t cái thùng xốp to to cơi . đừng ai cảng tao nha,
Thôi đi bà ơi tha cho ổng đi để ổng tu,
Đẹp quá trời,
Ủa sao cười vậy,
Đưa t thùng xốpp,
con  nao  doi  dien  viet  ve  an  lon  viet  nam,
vừa nói xong hôm rồi,
be oi anh cho em di an kem na,
bé ơiii anh chở iem đi ăn kem nà =333 đi ăn kem nà,
Ước gì mình cũng dc nếm thử,
Tôi phải bái phục và sưng cho em làm Vua hề đất sai thành,
Ung ho  chi hang,
Tương  lai  vô  trại  nữa,
Tôi đang ở Mỹ đây Không có nheKhông ai rảnh đâu,
Nhìn nó chối mà buồn ỉ.a,
Chê nha,
ăn kem nàa,
Tt noi samkhoc đê lam gi     Khoc đê lây tiên khan gia phai ko trân thanh,
DV nên khóc giả cười giả chỉ có ai tinh mới biết nha ?Nhàm,
Bớt cái má rớm,
ăn kem nà,
Trong xã hội này Có 1 mình  trấn Thành là nghệ sỹ chứ mấy,
Con mụ này rồi lại đi xa thôi,
Chúng ta hãy cổ vũ cho chị Hằng đi nào.để chỉ dúp mạnh đời khó khăn nữa tiết làm chi hãy cho chi ấy một trái tim,
Thí dụ Ai đó nói đi giải cứu bà Hằg (trong khi bả đag chăn êm nệm ấm hả hê trên đống kim cương) thì đó là bả muốn vạy , ng đó là phe bả hả ta,
Mọi thứ trên mạng toàn là ko có kiểm chứng cho nên ace đừng nói gì ai hết cứ để luận Pháp vào cuộc là sẽ hiểu đúng sai,
Đúng nghe con hắng nó nói chuyện chẳng buồn nghe,
tổng dọn vs,
Diễn quá diễn,
